Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/9/17, 18:15:00, 5703.00, 5704.25, 5702.25, 5703.00, 1259, 722, 451, 808
2024/9/17, 18:30:00, 5703.00, 5703.50, 5701.00, 5702.25, 474, 418, 249, 225
2024/9/17, 18:45:00, 5702.00, 5703.75, 5701.25, 5702.25, 504, 399, 242, 262
2024/9/17, 19:00:00, 5702.25, 5702.50, 5700.50, 5702.00, 495, 409, 250, 245
2024/9/17, 19:15:00, 5702.00, 5703.50, 5701.75, 5702.25, 459, 343, 186, 273
2024/9/17, 19:30:00, 5702.50, 5705.75, 5702.25, 5705.50, 623, 473, 182, 441
2024/9/17, 19:45:00, 5705.50, 5706.50, 5704.75, 5705.50, 619, 514, 270, 349
2024/9/17, 20:00:00, 5705.75, 5706.75, 5703.50, 5704.75, 1197, 1012, 692, 505
2024/9/17, 20:15:00, 5704.50, 5705.75, 5704.25, 5705.00, 683, 594, 374, 309
2024/9/17, 20:30:00, 5705.25, 5705.75, 5704.00, 5704.75, 508, 447, 279, 229
2024/9/17, 20:45:00, 5705.00, 5706.00, 5704.50, 5704.50, 649, 568, 342, 307
2024/9/17, 21:00:00, 5704.75, 5706.25, 5703.50, 5704.25, 1130, 975, 569, 561
2024/9/17, 21:15:00, 5704.75, 5706.25, 5704.25, 5706.00, 627, 546, 320, 307
2024/9/17, 21:30:00, 5705.75, 5706.25, 5704.75, 5705.00, 703, 568, 384, 319
2024/9/17, 21:45:00, 5705.00, 5707.50, 5705.00, 5707.00, 981, 711, 394, 587
2024/9/17, 22:00:00, 5707.00, 5708.00, 5706.75, 5707.50, 575, 478, 294, 281
2024/9/17, 22:15:00, 5707.50, 5707.75, 5706.75, 5707.50, 503, 413, 263, 240
2024/9/17, 22:30:00, 5707.50, 5708.00, 5706.25, 5706.50, 894, 569, 482, 412
2024/9/17, 22:45:00, 5706.50, 5707.50, 5706.25, 5707.25, 323, 266, 148, 175
2024/9/17, 23:00:00, 5707.25, 5707.25, 5705.25, 5705.25, 461, 380, 263, 198
2024/9/17, 23:15:00, 5705.25, 5706.50, 5705.25, 5706.25, 416, 356, 204, 212
